Название,Продолжительность,movies_duration
Никаких больше вечеринок,"Party Hard Die Young, 92 мин",92
Сделано в Италии,"Made in Italy, 50 мин",50
Измена,115 мин,115
Далеко на север,"Tout en haut du monde, 81 мин",81
Айрис,"Airiseu, 60 мин",60
Жажда,"Bakjwi, 133 мин",133
Заклятие 2,"The Conjuring 2, 133 мин",133
Пять способов умереть,"5 Ways 2 Die, 15 мин",15
Адреналин 2,"Crank: High Voltage, 96 мин",96
Лебединое озеро,108 мин,108
Время Ведьм,"Season of the Witch, 98 мин",98
Американская пастораль,"American Pastoral, 108 мин",108
Приключения Десперо,"The Tale of Despereaux, 93 мин",93
Обиды,"No Hard Feelings, 103 мин",103
Петербург,111 мин,111
Республика ШКИД,103 мин,103
Черный орел,"Black Eagle, 90 мин",90
Бродяга Бро,"Baegabondeu, 60 мин",60
Подземелье и драконы,"Dungeons & Dragons: Honor Among Thieves, 134 мин",134
"Происшествие, которого никто не заметил",66 мин,66
Песнь моря,"Song of the Sea, 93 мин",93
Соседи сверху,"Sentimental, 82 мин",82
Фургончик с мороженым,"The Ice Cream Truck, 96 мин",96
Пятое измерение,"Push, 111 мин",111
Сутенер,"Le mac, 92 мин",92
Сувенир для прокурора,89 мин,89
Не угаснет надежда,"All Is Lost, 101 мин",101
Ещё одна из рода Болейн,"The Other Boleyn Girl, 110 мин",110
Ледниковый период,"Ice Age, 81 мин",81
Криминальное чтиво,"Pulp Fiction, 154 мин",154
Санта Клаус,"The Santa Clause, 93 мин",93
Воспоминания,"Reminiscence, 116 мин",116
Черепашки-ниндзя 2,"Teenage Mutant Ninja Turtles: Out of the Shadows, 112 мин",112
Холодный расчет,"The Card Counter, 111 мин",111
Голос монстра,"A Monster Calls, 108 мин",108
Бешеные псы,"Reservoir Dogs, 100 мин",100
Садко,81 мин,81
Любить по-русски 2,92 мин,92
Исключения без правил,95 мин,95
Возмещение ущерба,"Collateral Damage, 109 мин",109
Люблю мужчин постарше,"Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo, 23 мин",23
Чермен,105 мин,105
Крампус,"Krampus, 98 мин",98
Обитель зла: Последняя глава,"Resident Evil: The Final Chapter, 107 мин",107
Аннетт,"Annette, 141 мин",141
Собачий год,"A Dog Year, 80 мин",80
65,"65, 93 мин",93
Грешники и праведники,"Outlaws and Angels, 120 мин",120
Соломенный бычок,10 мин,10
На одном дыхании,"In the Same Breath, 95 мин",95
Гангстеры,"Mobsters, 104 мин",104
Влюбленный котик,"Miraculous: Tales of Ladybug & Cat Noir, 22 мин",22
Шум тапочек,"Le bruit des chaussons, 4 мин",4
Мое прекрасное несчастье,"Beautiful Disaster, 96 мин",96
Тройная угроза,"Triple Threat, 96 мин",96
Скуби-ду,"Scooby-Doo, 89 мин",89
Точки над I,"Dot the I, 92 мин",92
Отмель,"The Shallows, 87 мин",87
Смурфики 2,"The Smurfs 2, 105 мин",105
Любовь случается,"Love Happens, 109 мин",109
Двадцать одно,"21, 117 мин",117
"Берлин, я люблю тебя","Berlin, I Love You, 120 мин",120
Охота на единорога,79 мин,79
Грань будущего,"Edge of Tomorrow, 113 мин",113
Карьера через диван,"Promotion canapé, 9 мин",9
Матрица,"The Matrix, 136 мин",136
Призрачный гонщик 2,"Ghost Rider: Spirit of Vengeance, 96 мин",96
Крик 2,"Scream 2, 116 мин",116
С любимыми не расставайтесь,76 мин,76
Старики-разбойники,92 мин,92
Тайна Коко,"Coco, 105 мин",105
Ледяной драйв,"The Ice Road, 108 мин",108
Крепкий орешек,"Die Hard, 133 мин",133
Вертикальный предел,"Vertical Limit, 124 мин",124
Открытое море: Монстр глубины,"The Reef: Stalked, 92 мин",92
Крепостная актриса,101 мин,101
2012,"2012, 158 мин",158
Легион,"Legion, 100 мин",100
Пучина,"Djúpið, 95 мин",95
Гоголь. Начало,100 мин,100
Уолл-стрит,"Wall Street: Money Never Sleeps, 127 мин",127
Центр занятости,"La tête de l'emploi, 8 мин",8
Сыщик,"Sleuth, 88 мин",88
Сорвать куш,"Perrier's Bounty, 88 мин",88
Красотка,"Pretty Woman, 115 мин",115
Отчий дом,100 мин,100
Война красавиц,"La guerre des miss, 89 мин",89
Жена,24 мин,24
Шахматист,"Fahim, 107 мин",107
Стражи Галактики. Часть 2,"Guardians of the Galaxy Vol. 2, 136 мин",136
Куриный забег,"Elleville Elfrid, 75 мин",75
Другие,52 мин,52
Добровольцы,97 мин,97
Война под землей,"The War Below, 96 мин",96
Дьяволик,"Diabolik, 139 мин",139
Папаши,"Les compères, 92 мин",92
Тайное окно,"Secret Window, 96 мин",96
Чемпионат 66 года,"Sixty Six, 81 мин",81
Красавица из трущоб,"Trishna, 117 мин",117
Банкиры,"Azor, 100 мин",100
Глаз,48 мин,48
Полный расколбас,"Sausage Party, 89 мин",89
Радуга,93 мин,93
Жеребенок,42 мин,42
Как выйти замуж?,"Leap Year, 100 мин",100
Сокровенный человек,73 мин,73
Тихая гавань,"Safe Haven, 115 мин",115
Вне игры,24 мин,24
Спасатели Малибу,"Baywatch, 116 мин",116
Брелок,22 мин,22
Друзья навсегда,"Our Friend, 124 мин",124
Рэй,"Ray, 152 мин",152
Последний день Земли,"Survivre, 90 мин",90
Еще одна настоящая любовь,"One True Loves, 100 мин",100
Пионеры-герои,116 мин,116
Призрачная нить,"Phantom Thread, 130 мин",130
Байконур,"Baykonur, 95 мин",95
Воскресный папа,85 мин,85
Маньчжурский кандидат,"The Manchurian Candidate, 129 мин",129
Одиссея 1989,70 мин,70
Соседка,"The Girl Next Door, 109 мин",109
Капитан Крюк,"Hook, 142 мин",142
Бобёр,"The Beaver, 91 мин",91
Фукусима,"Fukushima 50, 122 мин",122
Четыре свадьбы и одни похороны,"Four Weddings and a Funeral, 117 мин",117
Молодые на природе,50 мин,50
Последний рубеж,"Homefront, 96 мин",96
Ребёнок Розмари,"Rosemary's Baby, 137 мин",137
Бродячий автобус,98 мин,98
Марс,"The Martian, 144 мин",144
Бронсон,"Bronson, 92 мин",92
Джек and Чан,17 мин,17
Великолепная афера,"Matchstick Men, 116 мин",116
Криминальный город,"Beomjoe dosi, 121 мин",121
Пути и путы,"Rails & Ties, 101 мин",101
Дневники убийцы,"Diario di spezie, 98 мин",98
Выход,"Nae nampyeongwa gyeolhonhaejwo, 70 мин",70
Статус: Обновлён,"Status Update, 106 мин",106
Великий уравнитель,"The Equalizer, 132 мин",132
Антошка,2 мин,2
Голиаф,"Goliath, 60 мин",60
Девушка с гитарой,87 мин,87
Любовницы,"Mistresses, 43 мин",43
Чистильщик,"Cleaner, 88 мин",88
Видок,"Vidocq, 98 мин",98
Хранитель Луны,"Mune, le gardien de la lune, 85 мин",85
Бюро человечества,"The Humanity Bureau, 95 мин",95
Ослиная шкура,"Allerleirauh, 58 мин",58
Мой ужин с Эрве,"My Dinner with Hervé, 110 мин",110
Отцы и деды,83 мин,83
Офелия,"Ophelia, 114 мин",114
Хищник 2,"Predator 2, 108 мин",108
Мария. Спасти Москву,111 мин,111
Кольца Альманзора,64 мин,64
Генеральская дочь,"The General's Daughter, 116 мин",116
Портрет мамы,20 мин,20
Дино Дана,"Dino Dana: The Movie, 85 мин",85
Живая сталь,"Real Steel, 127 мин",127
Снежная королева,76 мин,76
Тайна внутреннего уха,6 мин,6
Беовульф,"Beowulf, 113 мин",113
Салями,45 мин,45
ЛЕГО Ниндзяго Фильм,"The Lego Ninjago Movie, 104 мин",104
Сверстницы,84 мин,84
Локдаун,"Locked Down, 118 мин",118
Сезон охоты 2,"Open Season 2, 76 мин",76
До самого конца,"All the Way, 132 мин",132
Паразиты,"Gisaengchung, 131 мин",131
Если только,"If Only, 92 мин",92
Запретная кухня,"Abe, 85 мин",85
Кредо убийцы,"Assassin's Creed, 115 мин",115
Куколка,"Dollface, 29 мин",29
Маленькие секреты,"Les petits mouchoirs, 154 мин",154
Без ума от блондинок 2,"The Big Bang Theory, 22 мин",22
Рожденный четвертого июля,"Born on the Fourth of July, 145 мин",145
Мы умираем молодыми,"We Die Young, 92 мин",92
Родитель,115 мин,115
Высота,"Altitude, 88 мин",88
Братья Гримм,"The Brothers Grimm, 118 мин",118
Попугай Club,90 мин,90
Царство красоты,"Le règne de la beauté, 102 мин",102
Новые приключения Аладдина,"Les nouvelles aventures d'Aladin, 107 мин",107
Полночные дьяволы,"Midnight Devils, 78 мин",78
Гонка века,"The Mercy, 112 мин",112
Необъяснимое,"Inconceivable, 105 мин",105
Контейнер 2. Фильм о фильме,21 мин,21
Выпуск 3,98 мин,98
Редкая бабочка,"The Butterfly Tree, 97 мин",97
Крылья урагана,"Hurricane, 107 мин",107
Пленницы,"Prisoners, 153 мин",153
10 000 лет до н.э.,"10,000 BC, 110 мин",110
Одиннадцать надежд,101 мин,101
Книжный в Париже,"Il materiale emotivo, 89 мин",89
Явление,"The Happening, 86 мин",86
Обыкновенное сердце,"The Normal Heart, 132 мин",132
Создатели страхов,"Definition of Fear, 90 мин",90
Курьер,88 мин,88
Разврат в Голливуде,"Hollywood, 347 мин",347
Мумия,"The Mummy, 124 мин",124
Начальник Чукотки,86 мин,86
Суперфорсаж!,"Superfast!, 99 мин",99
Привычка расставаться,90 мин,90
Идеальный муж,"An Ideal Husband, 97 мин",97
История Золушки,"A Cinderella Story, 95 мин",95
Коко до Шанель,"Coco avant Chanel, 105 мин",105
Ночной звон,59 мин,59
Плохие парни 2,"Bad Boys II, 141 мин",141
Собеседование,14 мин,14
Лоракс,"The Lorax, 86 мин",86
Я видел свет,"I Saw the Light, 123 мин",123
27,"27 Dresses, 106 мин",106
Фокус-покус,"Hocus Pocus, 96 мин",96
Мужской разговор,93 мин,93
Титаник,"Titanic, 194 мин",194
Гретель и Гензель,"Gretel & Hansel, 87 мин",87
Чудеса с небес,"Miracles from Heaven, 109 мин",109
Чёрная Вдова,"Black Widow, 134 мин",134
Деревья,95 мин,95
Игра в иллюзию,"Jane, 83 мин",83
Октябрь,"October Sky, 108 мин",108
Человек-муравей и Оса,"Ant-Man and the Wasp: Quantumania, 124 мин",124
Экипаж,138 мин,138
Порожний рейс,85 мин,85
Грешники и святые,"Sinners and Saints, 104 мин",104
Соблазнитель,"Kokowääh, 126 мин",126
Танго втроём,"Three to Tango, 98 мин",98
Крик,"Scream, 111 мин",111
Любовь с ограничениями,98 мин,98
Элвис и Никсон,"Elvis & Nixon, 86 мин",86
Скиф,100 мин,100
Маска Зорро,"The Mask of Zorro, 136 мин",136
Va-банк,"Runner Runner, 88 мин",88
Душа,"Soul, 106 мин",106
Волшебник,120 мин,120
Элизиум,"Elysium, 109 мин",109
Параллельные матери,"Madres paralelas, 123 мин",123
"Чудак из пятого ""Б""",90 мин,90
Из жизни отдыхающих,84 мин,84
За бортом,"Overboard, 112 мин",112
Час расплаты,"Paycheck, 119 мин",119
Развратные приключения 2,"Sightseers, 88 мин",88
Кто эти люди?,48 мин,48
Карманные деньги,"Milk Money, 110 мин",110
Соната,"The Sonata, 88 мин",88
"Прохиндиада, или Бег на месте",89 мин,89
Любит — не любит,"Omoi, Omoware, Furi, Furare, 103 мин",103
Инферно,"Inferno, 121 мин",121
Хэллоуин 5,"Halloween 5: The Revenge of Michael Myers, 97 мин",97
Король Слон,"The Elephant King, 68 мин",68
Ангелы революции,113 мин,113
"Любовь - это все, что тебе нужно","Den skaldede frisør, 111 мин",111
Карательница,"A Vigilante, 91 мин",91
Воздухоплаватель,93 мин,93
Под водой,"Underwater, 95 мин",95
Киллер,51 мин,51
Преследование,"Bumperkleef, 86 мин",86
Кинг Конг,"King Kong, 187 мин",187
Вне правил,"Rules Don't Apply, 127 мин",127
Убрать из друзей,"Unfriended, 82 мин",82
Смерч,"Twisters, 122 мин",122
Топ Ган: Мэверик,"Top Gun: Maverick, 130 мин",130
Пункт назначения 5,"Final Destination 5, 92 мин",92
Большие мамочки. Сын как отец,"Big Mommas: Like Father, Like Son, 103 мин",103
Чужой против Хищника,"AVP: Alien vs. Predator, 101 мин",101
Женская природа,"Man, Woman, Wild, 45 мин",45
Грозный папа,90 мин,90
Возвращение,106 мин,106
Питер Пэн,"Peter Pan, 77 мин",77
9 рота,139 мин,139
Весна,"Bom yeoreum gaeul gyeoul geurigo bom, 103 мин",103
Скопа,"Scopa, 5 мин",5
В диких условиях,"Into the Wild, 148 мин",148
Уроды,"Freaked, 80 мин",80
День ангела,74 мин,74
Белки в деле,"Get Squirrely, 83 мин",83
Притворись моей женой,"Just Go with It, 117 мин",117
Учитель пения,86 мин,86
Смычок. Фильм о фильме,20 мин,20
Властелин колец: Братство кольца,"The Lord of the Rings: The Fellowship of the Ring, 178 мин",178
"Вы умрёте, или мы вернём вам деньги","Dead in a Week (Or Your Money Back), 90 мин",90
Викинг Вик,"Vikings, 45 мин",45
Джинглики,11 мин,11
Сияние,"The Shining, 144 мин",144
Агенты А.Н.К.Л.,"The Man from U.N.C.L.E., 116 мин",116
Счастливого нового дня смерти,"Happy Death Day 2 U, 100 мин",100
Братец медвежонок,"Brother Bear, 82 мин",82
Звериные бои,"Daisy Quokka: World's Scariest Animal, 88 мин",88
Миссис Хайд,"Madame Hyde, 95 мин",95
Игрушки для взрослых,"The Happytime Murders, 91 мин",91
Любовь на кончиках пальцев,"Populaire, 111 мин",111
Последний богатырь,60 мин,60
Дикая любовь,122 мин,122
Волшебная лампа Аладдина,84 мин,84
Выборы-выборы,"Grassroots, 100 мин",100
Аисты,"Storks, 87 мин",87
Охотник на монстров,"Monster Hunter, 103 мин",103
Зачетный препод,"Fack ju Göhte, 119 мин",119
Психо,"Psycho, 109 мин",109
Иваново детство,96 мин,96
Мистер Феличита,"Mister Felicità, 94 мин",94
Свои,105 мин,105
Учимся принимать ребенка,"El internado, 75 мин",75
Арбузные корки,83 мин,83
Не брать живым,"Green Zone, 114 мин",114
Крёстный отец,"The Godfather, 175 мин",175
Живет такой парень,101 мин,101
Свингеры,96 мин,96
Большая поэзия,120 мин,120
Сестренка,94 мин,94
Проклятый дом 4,"Playhouse, 87 мин",87
В клетке,50 мин,50
Зеленая миля,"The Green Mile, 189 мин",189
Седьмой сын,"Seventh Son, 102 мин",102
Метро,132 мин,132
Старик Хоттабыч,86 мин,86
Увлечение,"The Crush, 89 мин",89
Барбос в гостях у Бобика,20 мин,20
Приходи на меня посмотреть,101 мин,101
Амели,"Le Fabuleux destin d'Amélie Poulain, 122 мин",122
Глубокое синее море,"Deep Blue Sea, 105 мин",105
Золушка,"Cinderella, 105 мин",105
Жизнь как дом,"Life as a House, 125 мин",125
Помнить,"Remember, 94 мин",94
Займись своим делом,"De quoi je me mêle, 19 мин",19
Неуловимая четверка,127 мин,127
Черное Рождество,"Black Christmas, 98 мин",98
Делай ноги,"Happy Feet, 104 мин",104
"Старая, старая сказка",90 мин,90
Туристас,"Turistas, 93 мин",93
Подельники,109 мин,109
"Девочка, хочешь сниматься в кино?",82 мин,82
Им покоряется небо,80 мин,80
Эон Флакс,"Æon Flux, 93 мин",93
Жадность,"Greed, 104 мин",104
Гости на пороге,"Harry Potter and the Sorcerer's Stone, 152 мин",152
Проклятая,"Cursed, 60 мин",60
Морская черепашка,"Loggerheads, 95 мин",95
Лягушка,18 мин,18
Кипарисы,"Lakeview Terrace, 106 мин",106
Волшебный клад,20 мин,20
Тёмная башня,"The Dark Tower, 95 мин",95
Элита,"Élite, 60 мин",60
Дьявол,"The Devil Wears Prada, 109 мин",109
Ваш сын и брат,92 мин,92
Холодная ночь,"Pasukkun, 116 мин",116
Без комментариев,"No Comment, 3 мин",3
Пять вечеров,108 мин,108
Тэмми,"Tammy, 97 мин",97
Семейка Ады,100 мин,100
Непристойное поведение 2,"Indecent Behavior II, 89 мин",89
Кортик,210 мин,210
Пространство между,"The Space Between, 100 мин",100
Странник,"Planetes, 25 мин",25
Земля мертвых,"Land of the Dead, 93 мин",93
Интимные места,78 мин,78
Сказка старого дуба,11 мин,11
Прометей,45 мин,45
"Я, робот","I, Robot, 115 мин",115
127 часов,"127 Hours, 93 мин",93
Пальмы в снегу,"Palmeras en la nieve, 163 мин",163
Неваляшка,92 мин,92
Вдребезги,"Paramparça, 120 мин",120
